eng,french
id like to know what it is,Jaimerais savoir de quoi il sagit
are you having fun,Passezvous du bon temps
she folded her handkerchief neatly,Elle a soigneusement plié son mouchoir
he was not impressed,Il ne fut pas impressionné
organic food tastes better,La nourriture bio a meilleur goût
i had no idea it would put you to so much trouble,Je navais aucune idée que cela te causerait autant de problèmes
im fat,Je suis gros
keep your hands off my bike,Bas les pattes de mon vélo
all of us are getting older,Nous prenons toutes de lâge
he kept his sense of humor until the day he died,Il a conservé son sens de lhumour jusquau jour où il est mort
tom certainly wasnt at home when we went to visit him,Tom nétait certainement pas chez lui lorsque nous sommes allés lui rendre visite
tom lives on a private island,Tom vit sur une île privée
who did you go with,Avec qui êtesvous allé
tom told me that mary was dead,Tom ma dit que Marie était morte
im soaked,Je suis trempée
can you get the door to shut,Peuxtu faire en sorte de fermer la porte
no one says that anymore,Personne ne dit plus ça
use the manual override,Utilise la conduite manuelle
ive never felt so alive,Je ne me suis jamais sentie si vivante
tom told mary that he had finished the work a few days ago,Tom a dit à Marie quil avait terminé le travail quelques jours avant
youre totally ignorant,Vous êtes complètement ignorant
hows the weather there,Comment est le temps làbas
i dont like to make mistakes,Je naime pas commettre des erreurs
i suggested that we go fishing,Jai proposé que nous allions pêcher
a dog bit her leg,Un chien a mordu sa jambe
tom began to laugh,Tom se mit à rire
give me ten minutes,Donnemoi dix minutes
do we need a plan b,Avonsnous besoin dun plan de secours
id like to reserve a table for two,Je voudrais réserver une table pour deux personnes
our countrys climate is temperate,Le climat de notre pays est tempéré
how do you know where i live,Comment saistu où je vis
keep on smiling,Restez souriants
cook for me,Cuisinez pour moi
i cant stand this kind of music,Je ne supporte pas ce genre de musique
tom showed me his photo album,Tom ma montré son album photo
im intrigued,Cela mintrigue
believe what you want,Crois ce que tu veux
i can sing it in english,Je sais le chanter en anglais
when angry count to four when very angry swear,Si tu es en colère compte jusquà quatre Si tu es très en colère sors une bordée de jurons
i cant believe he did that,Je narrive pas à croire quil ait fait cela
arent you dressed yet,Nêtesvous pas encore habillé
we need men like you,Nous avons besoin dhommes comme toi
contact me tomorrow,Contactemoi demain
im sorry that i cant be who you want me to be,Je suis désolée de ne pouvoir être celle que tu voudrais que je sois
his story is much more interesting than hers,Son histoire est beaucoup plus intéressante que la sienne
id really like to know,Jaimerais vraiment savoir
i asked her to marry me and she accepted,Je lui demandai de mépouser et elle accepta
i heard the message,Jentendis le message
maybe thats the reason,Peutêtre estce là la raison
thats the fastest train in the world,Cest le train le plus rapide au monde
we need someone to keep an eye on our baby while we are away,Nous avons besoin de quelquun pour surveiller notre bébé pendant que nous sommes absents
youre sure about this right,Vous êtes sûr de ceci nestce pas
tom drank a glass of water,Tom a bu un verre deau
my wife was mad,Ma femme était furieuse
if only i had taken your advice,Si seulement javais pris votre conseil
tom has abandoned me,Tom ma largué
dont i have some say in this,Ny aije pas mon mot à dire
the apricot trees are in full blossom,Les abricotiers sont tout en fleurs
be careful not to fall,Faites attention de ne pas tomber
she kept on talking while eating,Elle ne cessait de parler tout en mangeant
ill see you a week from today,On se revoit dans une semaine exactement
give me a job,Donnemoi un travail
thats my favorite shirt,Cest ma chemise préférée
you have to wait,Vous devez attendre
im happy you liked it,Je suis heureuse que tu laies aimé
ill leave it up to you,Je vous en laisse la décision
i hope youre well,Jespère que tu te portes bien
you could sleep in the hammock,Tu pourrais dormir dans le hamac
is the coffee hot,Estce que le café est chaud
he forced her to sit down,Il la contraignit à sasseoir
we could really use another person around here,Une personne de plus ne serait pas de refus
i was dumbstruck,Jétais sidéré
i feel bad for them,Je me sens mal pour elles
are you dyslexic,Tu es dyslexique
you have the right to know,Tu as le droit de savoir
the colonists bartered with the natives for fur,Les colons faisaient du troc avec les autochtones pour obtenir de la fourrure
let tom know,Informe Tom
we couldnt have done it without your help,Nous naurions pas pu le faire sans votre aide
i dont know if i have enough money,Jignore si je dispose de suffisamment dargent
when mary was a child her family was very poor,Quand Marie était une enfant sa famille était très pauvre
theyre in trouble,Elles ont des ennuis
i figured youd want to know,Jai songé que tu voudrais savoir
i hope youre wrong about this,Jespère que vous avez tort à ce sujet
i assumed it was free,Jai supposé que cétait gratuit
is there something wrong with your car,Y atil quelque chose qui ne va pas avec ta voiture
dont tell me to mellow out,Ne me dis pas de me détendre
i need to get out of this place,Je dois sortir de cet endroit
i got injured in the traffic accident,Jai été blessé dans laccident de la route
dont say anything,Ne dites rien
no one here will betray you,Personne ici ne te trahira
ive never come across such a strange case,Je nai jamais rencontré un cas aussi étrange
she got him to do anything she wanted him to do,Elle obtint quil fasse tout ce quelle voulait
its not my size,Ce nest pas ma taille
they caught us by surprise,Ils nous ont pris par surprise
ive never broken the law,Je nai jamais enfreint la loi
never tell me a lie again,Ne me dites plus jamais de mensonge
im half japanese,Je suis à moitié Japonaise
theres not enough room for everybody,Il ny a pas assez de place pour tout le monde
he walked toward the door,Il a passé la porte
some people like him and other people dont,Il y a des gens qui lapprécient et dautres non
i cant believe this is all happening,Je narrive pas à croire que tout ceci arrive
he thinks that they are not sentient beings,Il pense quelles ne sont pas des êtres doués de sens
how can you be so blind,Comment peuxtu être à ce point aveugle
are you dressed,Êtesvous habillée
you were wrong after all,Vous aviez tort après tout
is your friend canadian,Votre ami estil canadien
check everything once more,Vérifie tout encore une fois
you must not stay up late,Tu ne dois pas veiller tard
it feels like rain,On dirait quil va pleuvoir
i am the chosen one,Je suis lélue
it rained five successive days,Il a plu cinq jours consécutifs
what time and where could we meet,À quelle heure et où pourrionsnous nous rencontrer
he didnt look happy,Il navait pas lair heureux
they dont pay me enough,Ils ne me paient pas assez
i live in a hotel,Je vis à lhôtel
why are you alone,Pourquoi estu seule
youre very talented,Tu es pleine de talent
we study together,Nous étudions ensemble
i guess you think youre pretty special dont you,Je présume que tu penses être plutôt singulière nestce pas
bad weather prevented them from sailing,Le mauvais temps les empêcha daller à la voile
i want to know everything you know,Je veux savoir tout ce que tu sais
we have to weigh the pros and cons,Nous devons peser les avantages et les inconvénients
it was just a matter of time,Cétait juste une question de temps
my grandma injured her leg in a fall,Ma grandmère sest blessée à la jambe en tombant
ive been sent to relieve you,Jai été envoyé pour vous soulager
only one man survived,Un seul homme a survécu
the air was humid,Lair était humide
i want to know whats funny,Je veux savoir ce qui est amusant
how long has it been since youve seen your boyfriend,Depuis quand navezvous pas vu votre petit ami
i want you to tell me how to do this,Je veux que vous me disiez comment faire ceci
tom will possibly be here within the hour,Tom sera peutêtre là dici une heure
that would be really funny,Ce serait vraiment drôle
spring is just around the corner,C’est bientôt le printemps
